date,hour,pwv_rad,pwv_ours,pwv_gpt3,zwd
2019-03-22,0,24.730,26.140,26.110,165.967
2019-03-23,0,15.075,19.701,19.688,125.087
2019-03-24,0,18.142,21.884,21.879,138.943
2019-03-25,0,10.155,16.459,16.464,104.500
2019-03-26,0,13.802,19.403,19.418,123.193
2019-03-27,0,39.036,38.207,38.254,242.580
2019-03-28,0,25.751,33.145,33.203,210.444
2019-03-29,0,13.645,18.512,18.553,117.535
2019-03-30,0,24.967,26.302,26.373,166.995
2019-03-31,0,16.689,21.874,21.944,138.882
2019-04-01,0,6.361,12.741,12.574,79.545
2019-04-05,0,18.863,15.633,15.458,97.600
2019-04-06,0,18.123,15.898,15.728,99.256
2019-04-07,0,19.027,15.392,15.235,96.096
2019-04-08,0,25.465,20.313,20.116,126.821
2019-04-09,0,51.958,44.084,43.676,275.231
2019-04-10,0,23.707,27.780,27.537,173.442
2019-04-11,0,20.260,23.908,23.709,149.263
2019-04-12,0,20.113,18.021,17.880,112.511
2019-04-13,0,34.611,32.651,32.411,203.851
2019-04-14,0,30.473,32.515,32.291,203.000
2019-04-15,0,19.760,20.894,20.760,130.451
2019-04-16,0,23.244,21.031,20.906,131.302
2019-04-17,0,17.606,15.029,14.946,93.829
2019-04-19,0,48.482,39.130,38.952,244.303
2019-04-20,0,37.965,35.828,35.681,223.682
2019-04-21,0,48.363,46.931,46.761,293.003
2019-04-22,0,42.215,41.905,41.772,261.625
2019-04-23,0,37.268,36.882,36.782,230.264
2019-04-24,0,36.584,35.142,35.063,219.403
2019-04-25,0,34.790,34.572,34.510,215.842
2019-04-26,0,29.574,33.008,32.964,206.081
2019-04-27,0,30.300,33.304,33.275,207.929
2019-04-28,0,40.870,46.546,46.526,290.601
2019-04-29,0,41.010,42.712,42.712,266.665
2019-04-30,0,27.708,23.849,23.859,148.894
2019-05-01,0,18.821,20.741,20.463,127.640
2019-05-02,0,24.638,25.486,25.154,156.836
2019-05-03,0,21.326,21.506,21.236,132.347
2019-05-04,0,33.434,34.950,34.525,215.074
2019-05-05,0,40.228,38.978,38.521,239.866
2019-05-06,0,37.651,37.490,37.067,230.708
2019-05-07,0,27.205,27.925,27.622,171.848
2019-05-08,0,25.193,28.777,28.476,177.087
2019-05-09,0,23.224,24.235,23.992,149.140
2019-05-10,0,24.894,23.101,22.879,142.159
2019-05-11,0,26.861,23.148,22.935,142.451
2019-05-12,0,33.936,31.652,31.374,194.783
2019-05-13,0,41.980,42.125,41.772,259.229
2019-05-14,0,44.165,44.166,43.814,271.790
