lat,lon,pi,zwd,n_stations
-60.000000,-165.000000,0.153236,36.915865,5.000000
-60.000000,-160.000000,0.153225,36.915865,5.000000
-60.000000,-155.000000,0.149899,25.262051,5.000000
-60.000000,-150.000000,0.150485,25.262051,5.000000
-60.000000,-145.000000,0.150547,25.262051,5.000000
-60.000000,-140.000000,0.153498,42.931901,5.000000
-60.000000,-135.000000,0.152833,40.182642,5.000000
-60.000000,-130.000000,0.154621,50.096222,5.000000
-60.000000,-125.000000,0.154146,50.096222,5.000000
-60.000000,-120.000000,0.154117,38.488459,5.000000
-60.000000,-115.000000,0.153449,32.039994,5.000000
-60.000000,-110.000000,0.154166,36.826677,5.000000
-60.000000,-105.000000,0.154178,36.826677,5.000000
-60.000000,-100.000000,0.156716,45.213570,5.000000
-60.000000,-95.000000,0.156727,45.213570,5.000000
-60.000000,-90.000000,0.156826,45.213570,5.000000
-60.000000,-85.000000,0.156841,45.213570,5.000000
-60.000000,-80.000000,0.156857,45.213570,5.000000
-60.000000,-75.000000,0.156875,45.213570,5.000000
-60.000000,-70.000000,0.156893,45.213570,5.000000
-60.000000,-65.000000,0.151317,38.555937,5.000000
-60.000000,-60.000000,0.153231,38.555937,5.000000
-60.000000,-55.000000,0.148196,30.565469,5.000000
-60.000000,-50.000000,0.148188,30.565469,5.000000
-60.000000,-45.000000,0.152942,30.565469,5.000000
-60.000000,-40.000000,0.153935,30.565469,5.000000
-60.000000,-35.000000,0.153894,30.565469,5.000000
-60.000000,-30.000000,0.154299,30.565469,5.000000
-60.000000,-25.000000,0.154318,30.565469,5.000000
-60.000000,-20.000000,0.152088,21.841071,5.000000
-60.000000,-15.000000,0.152264,21.841071,5.000000
-60.000000,-10.000000,0.148856,16.183327,5.000000
-60.000000,-5.000000,0.151197,16.183327,5.000000
-60.000000,0.000000,0.152260,24.006475,5.000000
-60.000000,5.000000,0.152413,24.006475,5.000000
-60.000000,10.000000,0.150956,26.287001,5.000000
-60.000000,15.000000,0.150954,26.287001,5.000000
-60.000000,20.000000,0.152641,26.287001,5.000000
-60.000000,25.000000,0.152649,26.287001,5.000000
-60.000000,30.000000,0.152526,26.287001,5.000000
-60.000000,35.000000,0.145017,15.161841,5.000000
-60.000000,40.000000,0.144988,15.161841,5.000000
-60.000000,45.000000,0.144915,15.161841,5.000000
-60.000000,50.000000,0.146512,15.996685,5.000000
-60.000000,55.000000,0.146038,15.996685,5.000000
-60.000000,60.000000,0.146369,13.592760,5.000000
-60.000000,65.000000,0.146347,13.592760,5.000000
-60.000000,70.000000,0.146327,13.592760,5.000000
-60.000000,75.000000,0.146309,13.592760,5.000000
-60.000000,80.000000,0.146180,13.592760,5.000000
-60.000000,85.000000,0.146168,13.592760,5.000000
-60.000000,90.000000,0.145556,13.592760,5.000000
-60.000000,95.000000,0.145332,13.592760,5.000000
-60.000000,100.000000,0.145644,13.592760,5.000000
-60.000000,105.000000,0.146029,14.120610,5.000000
-60.000000,110.000000,0.145974,14.120610,5.000000
-60.000000,115.000000,0.145984,14.120610,5.000000
-60.000000,120.000000,0.146001,14.120610,5.000000
-60.000000,125.000000,0.151131,18.608968,5.000000
-60.000000,130.000000,0.149334,18.608968,5.000000
-60.000000,135.000000,0.153065,24.792615,5.000000
-60.000000,140.000000,0.152690,24.792615,5.000000
-60.000000,145.000000,0.152674,24.792615,5.000000
-60.000000,150.000000,0.153407,32.769976,5.000000
-60.000000,155.000000,0.150668,34.358464,5.000000
-60.000000,160.000000,0.153000,34.358464,5.000000
-60.000000,165.000000,0.152984,34.358464,5.000000
-60.000000,170.000000,0.152711,34.358464,5.000000
-60.000000,175.000000,0.152591,36.915865,5.000000
-55.000000,-180.000000,0.148188,36.915865,5.000000
-55.000000,-175.000000,0.148965,36.915865,5.000000
-55.000000,-170.000000,0.148980,36.915865,5.000000
-55.000000,-165.000000,0.148995,36.915865,5.000000
-55.000000,-160.000000,0.153397,54.585714,5.000000
-55.000000,-155.000000,0.154826,54.585714,5.000000
-55.000000,-150.000000,0.155283,54.585714,5.000000
-55.000000,-145.000000,0.155252,66.840577,5.000000
-55.000000,-140.000000,0.154915,66.840577,5.000000
-55.000000,-135.000000,0.155346,66.212693,5.000000
-55.000000,-130.000000,0.155061,74.004899,5.000000
-55.000000,-125.000000,0.153753,74.004899,5.000000
-55.000000,-120.000000,0.151846,60.330222,5.000000
-55.000000,-115.000000,0.155884,53.509142,5.000000
-55.000000,-110.000000,0.155913,53.509142,5.000000
-55.000000,-105.000000,0.156155,53.509142,5.000000
-55.000000,-100.000000,0.156901,45.213570,5.000000
-55.000000,-95.000000,0.156830,45.213570,5.000000
-55.000000,-90.000000,0.156840,45.213570,5.000000
-55.000000,-85.000000,0.156852,45.213570,5.000000
